,MSOA2011,income score,employment score,"education, skills and training score",barriers to housing and services score
0,E02000001,0.06903713609710935,0.055101841374344214,5.997754243390599,36.23126242156156
1,E02000002,0.2172142210730446,0.13677608274078862,31.250240077569487,46.25060025856497
2,E02000003,0.14112457490603186,0.0862495972793986,17.90603669232146,39.86903436549132
3,E02000004,0.1399636608344549,0.10068894870644535,23.141282488410347,36.44757215492747
4,E02000005,0.15811598926380366,0.10518117331288343,26.591110812883436,41.4522723351227
5,E02000007,0.21688664410828026,0.13123178742038216,30.207824641719746,49.39180344347133
6,E02000008,0.20278226188595802,0.1389504817564366,28.693141209919446,44.61405844258411
7,E02000009,0.21652616451094767,0.12586440104827118,27.370990869896012,45.53484030771831
8,E02000010,0.21986831812255542,0.13639135158626683,25.829504345936552,46.66498804867449
9,E02000011,0.14801701458392907,0.09205876465541894,23.181781812982557,39.442557048899054
10,E02000012,0.12260278097599858,0.07327747763705607,15.804482508192367,40.621944114781684
11,E02000013,0.20834253464461333,0.13029850245865,34.51248793026375,46.02849072418418
12,E02000014,0.20333872751030255,0.13567504271786107,30.771751733842596,44.93675143230475
13,E02000015,0.23426056166056167,0.1472034188034188,30.603353846153848,49.813530402930404
14,E02000016,0.21015337790639657,0.09929707614010579,15.731467119049995,51.1023971659515
15,E02000017,0.14529175202156336,0.08043460916442048,18.258106415094336,46.08052150943397
16,E02000018,0.20868307596642138,0.1294297854699969,30.489331329671465,48.578468960514044
17,E02000019,0.19622171353826032,0.11246664486592545,25.456497928929583,49.29559003706125
18,E02000020,0.19736727817296892,0.10791845750655185,23.65066342193935,53.45700044926994
19,E02000021,0.1821654740608229,0.10685096153846153,24.2514477862254,46.781916368515205
20,E02000022,0.24693535378223147,0.13270182084809973,24.467629842356107,54.17734852743492
21,E02000023,0.23213484546360919,0.1413863409770688,25.72506792123629,53.362109795613165
22,E02000024,0.06484579904133128,0.0519978294293208,2.372479696120105,22.229734647734468
23,E02000025,0.11202803402420031,0.08405307296034505,6.666890379777167,29.957978195758955
24,E02000026,0.07895131199757319,0.05438707720309419,4.479699529804338,25.26954830881238
25,E02000027,0.1550603859721934,0.11267721518987343,15.662907034654493,33.60404129487446
26,E02000028,0.10317550301072109,0.06158510794536643,5.403281098546042,27.85592054633573
27,E02000029,0.12775092582795472,0.0797017246852185,8.196126653264205,24.512811448523966
28,E02000030,0.07885553511524726,0.06068271832052808,5.814841575587057,32.69495011362407
29,E02000031,0.06649719959266803,0.04797479633401222,2.944468686354379,25.73258337576375
30,E02000032,0.06853094839788959,0.04823098700295972,3.5272910822287993,21.88316278471239
31,E02000033,0.12359260923284286,0.09361035605975514,11.58877445804785,28.72637043693137
32,E02000034,0.10316769987174006,0.0650370884993587,4.170244228302694,26.652321611799916
33,E02000035,0.11064999449157209,0.07301465241819985,3.6179461275751903,30.802220998127137
34,E02000036,0.11129351653069987,0.07449360240446543,9.473287848862173,34.88647342206956
35,E02000037,0.0859517626990144,0.05697971948445792,8.773325625473843,26.515714272175888
36,E02000038,0.10344908093039464,0.07047713215436885,6.585378952870459,27.41046711386009
